horizon,x,empirical_density,analytical_chi_squared_density,abs_diff
10,20.22187949075993,0.008855633888178966,0.008847071017848528,8.56287033043808e-06
10,20.79665483313203,0.007359397121217446,0.007424658742612654,6.526162139520834e-05
10,21.37143017550413,0.006237219545996385,0.006211922468289753,2.5297077706631574e-05
10,21.946205517876223,0.005106342919804572,0.005182252502658875,7.590958285430289e-05
10,22.520980860248322,0.004445215046030868,0.004311408053434827,0.00013380699259604115
10,23.09575620262042,0.0032882412669269644,0.003577567107330074,0.0002893258404031095
10,23.670531544992517,0.0029663763810108146,0.0029612849899845963,5.091391026218386e-06
10,24.245306887364613,0.00260101624024117,0.002445389402560854,0.00015562683768031603
10,24.820082229736713,0.001844198805789726,0.002014833984591494,0.00017063517880176802
10,25.39485757210881,0.001696314939287709,0.0016565274980733426,3.978744121436637e-05
10,25.969632914480904,0.0014092462572544134,0.001359151558409582,5.009469884483127e-05
10,26.544408256853004,0.001035187065514038,0.0011129764046064591,7.778933909242123e-05
10,27.119183599225103,0.0009829927596898067,0.0009096814311736254,7.331132851618133e-05
10,27.6939589415972,0.0008786041480413263,0.000742185013664802,0.00013641913437652438
10,28.268734283969295,0.0006785259757150879,0.0006044864629482564,7.403951276683141e-05
10,28.843509626341394,0.00040885539562319394,0.0004915216580021784,8.266626237898449e-05
10,29.41828496871349,0.00040885539562319145,0.0003990329581632214,9.822437459970038e-06
10,29.993060311085586,0.00037405919174036896,0.0003234533168479844,5.060587489238457e-05
10,30.567835653457685,0.0003131658349454232,0.00026180405254739046,5.136178239803274e-05
10,31.142610995829784,0.00014788386650200632,0.00021160543110389243,6.372156460188611e-05
10,31.717386338201877,0.00013918481553130093,0.00017079903604108024,3.161422050977931e-05
10,32.29216168057397,0.000217476274267655,0.00013768081865180322,7.979545561585179e-05
10,32.866937022946075,8.699050970706202e-05,0.00011084370082943575,2.3853191122373736e-05
10,33.44171236531817,9.568956067776821e-05,8.912863097586058e-05,6.560929701907627e-06
10,34.01648770769027,7.829145873635678e-05,7.158305110866238e-05,6.708407627694393e-06
10,34.591263050062366,0.00010438861164847441,5.742580969257799e-05,4.696280195589642e-05
10,35.16603839243446,2.6097152912118603e-05,4.6017640977422584e-05,1.992048806530398e-05
10,35.740813734806565,4.349525485353101e-05,3.683642141245863e-05,6.658833441072378e-06
10,36.31558907717866,3.479620388282523e-05,2.9456502603665857e-05,5.339701279159374e-06
10,36.89036441955075,6.089335679494341e-05,2.3531505326343004e-05,3.7361851468600403e-05
10,37.465139761922856,3.4796203882824804e-05,1.878003844603907e-05,1.6016165436785734e-05
10,38.03991510429495,1.7398101941412616e-05,1.4973879198734456e-05,2.4242227426781593e-06
10,38.61469044666704,8.699050970706201e-06,1.1928216690455391e-05,3.22916571974919e-06
10,39.18946578903915,0.0,9.493618666056829e-06,9.493618666056829e-06
10,39.76424113141124,0.0,7.549432815695384e-06,7.549432815695384e-06
10,40.33901647378334,8.699050970706308e-06,5.998378562778475e-06,2.700672407927833e-06
10,40.91379181615544,0.0,4.7621239392221075e-06,4.7621239392221075e-06
10,41.48856715852753,8.699050970706201e-06,3.7776753816606275e-06,4.921375589045573e-06
10,42.06334250089963,0.0,2.994436665252293e-06,2.994436665252293e-06
10,42.63811784327173,0.0,2.3718173038164496e-06,2.3718173038164496e-06
10,43.21289318564382,0.0,1.8772911279366786e-06,1.8772911279366786e-06
10,43.78766852801592,0.0,1.4848229060431428e-06,1.4848229060431428e-06
10,44.36244387038802,0.0,1.173595250059515e-06,1.173595250059515e-06
10,44.93721921276011,0.0,9.269800512865668e-07,9.269800512865668e-07
10,45.51199455513222,8.699050970706201e-06,7.317086806421351e-07,7.967342290064067e-06
10,46.08676989750431,8.699050970706308e-06,5.77203472010911e-07,8.121847498695397e-06
100,50.685331241998995,6.450392413970052e-06,4.982504241918376e-06,1.4678881720516765e-06
100,52.235624520023805,0.0,1.0044917736712927e-05,1.0044917736712927e-05
100,53.785917798048615,2.2576373448895284e-05,1.939511246675959e-05,3.181260982135695e-06
100,55.33621107607342,3.547715827683529e-05,3.595434095256517e-05,4.771826757298783e-07
100,56.88650435409823,7.740470896764062e-05,6.41358720723744e-05,1.3268836895266218e-05
100,58.43679763212303,9.675588620955121e-05,0.00011031637478879187,1.3560488579240663e-05
100,59.98709091014784,0.00019351177241910155,0.00018331429152958917,1.0197480889512385e-05
100,61.53738418817265,0.0003450959941473977,0.00029480490010521797,5.029109404217975e-05
100,63.08767746619746,0.00045797786139187367,0.00045958165029896716,1.6037889070934924e-06
100,64.63797074422227,0.0006643904186389154,0.0006955627411992264,3.117232256031103e-05
100,66.18826402224707,0.0011352690648587394,0.0010234460942992274,0.00011182297055951202
100,67.73855730027188,0.001477139862799142,0.0014659383990920454,1.1201463707096555e-05
100,69.28885057829669,0.0021963586169568027,0.0020465252507223604,0.00014983336623444234
100,70.8391438563215,0.002751092364558227,0.002787806292517783,3.6713927959555834e-05
100,72.38943713434631,0.0037186512266537347,0.0037094847490713023,9.16647758243249e-06
100,73.93973041237112,0.004792641563579748,0.004826165038791969,3.352347521222085e-05
100,75.49002369039593,0.006082720046373759,0.0061451644061886876,6.244435981492876e-05
100,77.04031696842074,0.007617913440898631,0.007664574735698838,4.666129480020761e-05
100,78.59061024644555,0.009682039013369047,0.009371811814590644,0.0003102271987784032
100,80.14090352447036,0.011097900148235473,0.011242858605318677,0.00014495845708320347
100,81.69119680249517,0.013574850835199975,0.013242348936008988,0.00033250189919098623
100,83.24149008051998,0.015397086692146653,0.015324555569285182,7.253112286147168e-05
100,84.79178335854478,0.017261250099783857,0.01743525261439065,0.00017400251460679417
100,86.34207663656959,0.01931570008363332,0.019514329248749487,0.00019862916511616605
100,87.8923699145944,0.021911983030256266,0.02149895198141349,0.0004130310488427748
100,89.44266319261921,0.023273015829603946,0.023327016293096265,5.4000463492319406e-05
