horizon,bin_centre,empirical_density,analytical_density_N_0_n,abs_diff
10,6.638642678761622,0.013786274190992983,0.01392861515764342,0.00014234096665043626
10,6.992980618971133,0.01202242130064076,0.010940103989803388,0.0010823173108373725
10,7.347318559180643,0.008861596921129663,0.008485592274435823,0.00037600464669384007
10,7.701656499390152,0.006984857445794808,0.006499651483561686,0.000485205962233122
10,8.055994439599663,0.004967009739231863,0.0049163770079128965,5.063273131896643e-05
10,8.410332379809175,0.0033160434338621813,0.0036723789316841556,0.00035633549782197434
10,8.764670320018686,0.002412950754001843,0.002708925084309098,0.00029597433030725514
10,9.119008260228195,0.002370618284633413,0.0019733026611580546,0.00039731562347535823
10,9.473346200437705,0.0013405281966676905,0.001419507226241745,7.897902957405443e-05
10,9.827684140647216,0.0010583117342113345,0.0010083904248159071,4.992130939542733e-05
10,10.182022080856726,0.0009172035029831658,0.0007074031965628389,0.00020980030642032683
10,10.536360021066235,0.0005079896324214406,0.0004900636857543536,1.7925946667086967e-05
10,10.890697961275746,0.00033865975494762703,0.00033526269009434117,3.397064853285863e-06
10,11.245035901485258,0.000268105639333538,0.00022649839458611828,4.160724474741974e-05
10,11.599373841694769,0.00012699740810536014,0.00015110966058726384,2.41122524819037e-05
10,11.953711781904278,9.877576185972554e-05,9.955579193875629e-05,7.800300790307538e-07
10,12.308049722113788,5.644329249127117e-05,6.477210810132548e-05,8.328815610054313e-06
10,12.6623876623233,0.0,4.161565475544638e-05,4.161565475544638e-05
10,13.016725602532809,5.644329249127174e-05,2.6404176745123108e-05,3.003911574614863e-05
10,13.371063542742318,2.8221646245635584e-05,1.6543817466653e-05,1.1677828778982583e-05
10,13.72540148295183,2.8221646245635584e-05,1.0236371231180628e-05,1.7985275014454956e-05
100,-46.217763517261716,4.305795087642818e-06,9.172076467982614e-07,3.388587440844557e-06
100,-45.05653779745228,4.305795087642818e-06,1.5581963092280194e-06,2.747598778414799e-06
100,-43.89531207764283,0.0,2.611682944340966e-06,2.611682944340966e-06
100,-42.73408635783339,4.305795087642818e-06,4.318794220071332e-06,1.299913242851349e-08
100,-41.57286063802394,8.611590175285637e-06,7.04609261114497e-06,1.5654975641406665e-06
100,-40.4116349182145,4.305795087642818e-06,1.1341694885685616e-05,7.035899798042797e-06
100,-39.25040919840505,2.5834770525856912e-05,1.8011560838841752e-05,7.82320968701516e-06
100,-38.089183478595615,1.722318035057138e-05,2.8220747699095263e-05,1.0997567348523884e-05
