k,z,p_path_count,smooth_bell
188,-5.5454485841994785,6.57806356435014e-09,7.494507621176476e-09
189,-5.4560058650994865,1.0859025566546263e-08,1.2257897646458895e-08
190,-5.366563145999495,1.777451026945204e-08,1.9889071998498826e-08
191,-5.277120426899503,2.8848681589162998e-08,3.201390805483826e-08
192,-5.187677707799512,4.6428346932559196e-08,5.1119725231827656e-08
193,-5.09823498869952,7.409290598563851e-08,8.097742685980441e-08
194,-5.008792269599529,1.1725011411129393e-07,1.2725213522964346e-07
195,-4.919349550499537,1.8399248675926126e-07,1.9837723296997425e-07
196,-4.829906831399546,2.8631483908966675e-07,3.0679213546611024e-07
197,-4.740464112299554,4.418259445850695e-07,4.7067622398242766e-07
198,-4.651021393199563,6.761275818650306e-07,7.163511180449988e-07
199,-4.561578674099571,1.0260830639358756e-06,1.0815715865269398e-06
200,-4.47213595499958,1.5442550112234928e-06,1.6199821912178207e-06
201,-4.382693235899588,2.3048582257067056e-06,2.4070818329102343e-06
202,-4.293250516799596,3.411646581615371e-06,3.5481103149285826e-06
203,-4.203807797699604,5.0082299572481806e-06,5.1883470351326746e-06
204,-4.114365078599612,7.291393614228968e-06,7.5263873275580456e-06
205,-4.024922359499621,1.052806102347207e-05,1.0831029928854642e-05
206,-3.9354796403996297,1.5076592242350782e-05,1.5462460081904502e-05
207,-3.846036921299638,2.1413131010875024e-05,2.1898434628310917e-05
208,-3.7565942021996466,3.0163689356665297e-05,3.0766152968159816e-05
209,-3.667151483099655,4.2142570775819455e-05,4.288041333714455e-05
210,-3.5777087639996634,5.839756236077839e-05,5.928848802877312e-05
211,-3.488266044899672,8.026205253377125e-05,8.132188399058763e-05
212,-3.3988233257996803,0.00010941383576537685,0.00011065476796822477
213,-3.3093806066996887,0.00014793983427431235,0.00014936831314218716
214,-3.219937887599697,0.00019840529176040956,0.0002000195588683938
215,-3.1304951684997055,0.0002639251788068704,0.00026571256879542144
216,-3.041052449399714,0.00034823461092573177,0.00035016874123225427
217,-2.9516097302997224,0.0004557540530087918,0.00045779210237261776
218,-2.862167011199731,0.0005916440229426058,0.0005937243510050249
219,-2.7727242920997393,0.0007618429884466432,0.0007638833972425789
220,-2.6832815729997477,0.0009730812716068488,0.0009749782432255893
221,-2.593838853899756,0.0012328631495471388,0.001234492404543877
222,-2.5043961347997645,0.0015494090933497824,0.0015506277937052527
223,-2.414953415699773,0.001931550349557128,0.0019322012115381645
224,-2.3255106965997814,0.0023885689590505553,0.0023884864411890245
225,-2.23606797749979,0.002929977923102015,0.002928996512385296
226,-2.146625258399798,0.003565238623243602,0.0035632030629470933
227,-2.057182539299806,0.004303415783122233,0.004300192878360923
228,-1.9677398201998149,0.005152774161370042,0.005148265578746447
229,-1.8782971010998233,0.0061203256414526265,0.006114480907375317
230,-1.7888543819998317,0.007211340212320269,0.007204168934430734
231,-1.6994116628998401,0.00842883920920551,0.00842042142204866
232,-1.6099689437998486,0.009773093738259837,0.009763587231676476
233,-1.520526224699857,0.011241155029414748,0.011230798575454419
234,-1.4310835055998654,0.01282644612330657,0.012815557686465648
235,-1.3416407864998738,0.014518445399147012,0.014507414696784586
236,-1.2521980673998823,0.016302491655821857,0.016291766819814403
237,-1.1627553482998907,0.018159737540662323,0.018149806093976296
238,-1.073312629199899,0.020067272996614247,0.02005863786377477
239,-0.9838699100999074,0.021998433159468336,0.021991584932700963
240,-0.8944271909999159,0.023923296060921816,0.023918683193456396
241,-0.8049844718999243,0.025809365044977894,0.025807363988864275
242,-0.7155417527999327,0.0276224196142532,0.027623307116964726
243,-0.6260990336999411,0.029327507244762654,0.029331437033239677
244,-0.5366563145999494,0.030890038368459025,0.030897024263872853
245,-0.4472135954999579,0.03227693805030821,0.03228684517430724
246,-0.35777087639996635,0.033457801637514606,0.03347034681469287
247,-0.2683281572999747,0.034405998445055506,0.034420760220318536
248,-0.17888543819998318,0.03509966776854453,0.03511610570150862
249,-0.08944271909999159,0.03552255533202097,0.03554003747338895
250,0.0,0.03566464555334905,0.035682482323055424
251,0.08944271909999159,0.03552255533202097,0.03554003747338895
252,0.17888543819998318,0.03509966776854453,0.03511610570150862
253,0.2683281572999747,0.034405998445055506,0.034420760220318536
254,0.35777087639996635,0.033457801637514606,0.03347034681469287
255,0.4472135954999579,0.03227693805030821,0.03228684517430724
256,0.5366563145999494,0.030890038368459025,0.030897024263872853
257,0.6260990336999411,0.029327507244762654,0.029331437033239677
258,0.7155417527999327,0.0276224196142532,0.027623307116964726
259,0.8049844718999243,0.025809365044977894,0.025807363988864275
260,0.8944271909999159,0.023923296060921816,0.023918683193456396
261,0.9838699100999074,0.021998433159468336,0.021991584932700963
262,1.073312629199899,0.020067272996614247,0.02005863786377477
263,1.1627553482998907,0.018159737540662323,0.018149806093976296
264,1.2521980673998823,0.016302491655821857,0.016291766819814403
265,1.3416407864998738,0.014518445399147012,0.014507414696784586
266,1.4310835055998654,0.01282644612330657,0.012815557686465648
267,1.520526224699857,0.011241155029414748,0.011230798575454419
268,1.6099689437998486,0.009773093738259837,0.009763587231676476
269,1.6994116628998401,0.00842883920920551,0.00842042142204866
270,1.7888543819998317,0.007211340212320269,0.007204168934430734
271,1.8782971010998233,0.0061203256414526265,0.006114480907375317
272,1.9677398201998149,0.005152774161370042,0.005148265578746447
273,2.057182539299806,0.004303415783122233,0.004300192878360923
274,2.146625258399798,0.003565238623243602,0.0035632030629470933
275,2.23606797749979,0.002929977923102015,0.002928996512385296
276,2.3255106965997814,0.0023885689590505553,0.0023884864411890245
277,2.414953415699773,0.001931550349557128,0.0019322012115381645
278,2.5043961347997645,0.0015494090933497824,0.0015506277937052527
279,2.593838853899756,0.0012328631495471388,0.001234492404543877
280,2.6832815729997477,0.0009730812716068488,0.0009749782432255893
281,2.7727242920997393,0.0007618429884466432,0.0007638833972425789
282,2.862167011199731,0.0005916440229426058,0.0005937243510050249
283,2.9516097302997224,0.0004557540530087918,0.00045779210237261776
284,3.041052449399714,0.00034823461092573177,0.00035016874123225427
285,3.1304951684997055,0.0002639251788068704,0.00026571256879542144
286,3.219937887599697,0.00019840529176040956,0.0002000195588683938
287,3.3093806066996887,0.00014793983427431235,0.00014936831314218716
288,3.3988233257996803,0.00010941383576537685,0.00011065476796822477
289,3.488266044899672,8.026205253377125e-05,8.132188399058763e-05
290,3.5777087639996634,5.839756236077839e-05,5.928848802877312e-05
291,3.667151483099655,4.2142570775819455e-05,4.288041333714455e-05
292,3.7565942021996466,3.0163689356665297e-05,3.0766152968159816e-05
293,3.846036921299638,2.1413131010875024e-05,2.1898434628310917e-05
294,3.9354796403996297,1.5076592242350782e-05,1.5462460081904502e-05
295,4.024922359499621,1.052806102347207e-05,1.0831029928854642e-05
296,4.114365078599612,7.291393614228968e-06,7.5263873275580456e-06
297,4.203807797699604,5.0082299572481806e-06,5.1883470351326746e-06
298,4.293250516799596,3.411646581615371e-06,3.5481103149285826e-06
299,4.382693235899588,2.3048582257067056e-06,2.4070818329102343e-06
300,4.47213595499958,1.5442550112234928e-06,1.6199821912178207e-06
301,4.561578674099571,1.0260830639358756e-06,1.0815715865269398e-06
302,4.651021393199563,6.761275818650306e-07,7.163511180449988e-07
303,4.740464112299554,4.418259445850695e-07,4.7067622398242766e-07
304,4.829906831399546,2.8631483908966675e-07,3.0679213546611024e-07
305,4.919349550499537,1.8399248675926126e-07,1.9837723296997425e-07
306,5.008792269599529,1.1725011411129393e-07,1.2725213522964346e-07
307,5.09823498869952,7.409290598563851e-08,8.097742685980441e-08
308,5.187677707799512,4.6428346932559196e-08,5.1119725231827656e-08
309,5.277120426899503,2.8848681589162998e-08,3.201390805483826e-08
310,5.366563145999495,1.777451026945204e-08,1.9889071998498826e-08
311,5.4560058650994865,1.0859025566546263e-08,1.2257897646458895e-08
312,5.5454485841994785,6.57806356435014e-09,7.494507621176476e-09
313,5.63489130329947,3.951041374114461e-09,4.545648651693535e-09
314,5.724334022399462,2.3530087164312236e-09,2.7351066649374296e-09
315,5.813776741499453,1.3893956230355797e-09,1.6325944476274032e-09
316,5.903219460599445,8.13411994498678e-10,9.667362563788e-10
317,5.992662179699436,4.721381923903999e-10,5.678888506362744e-10
318,6.082104898799428,2.7170216731900367e-10,3.3093623525096166e-10
319,6.171547617899419,1.5501502963027796e-10,1.9131584749432877e-10
320,6.260990336999411,8.768037613462597e-11,1.0971934694886786e-10
321,6.350433056099402,4.916656605679961e-11,6.242249542858227e-11
322,6.439875775199394,2.733172460921469e-11,3.523097664971787e-11
323,6.529318494299385,1.5062064954923265e-11,1.9725766278680962e-11
324,6.618761213399377,8.228350299448821e-12,1.0956421405137395e-11
325,6.7082039324993685,4.455968162163053e-12,6.03711177161288e-12
326,6.7976466515993605,2.392007449013909e-12,3.300010710498342e-12
327,6.887089370699352,1.2728113031450159e-12,1.789481143867244e-12
328,6.976532089799344,6.713303519636822e-13,9.626414275239383e-13
329,7.065974808899335,3.509690593852685e-13,5.137213475458427e-13
330,7.155417527999327,1.8186578531782093e-13,2.7196707007191855e-13
331,7.244860247099318,9.340538822969656e-14,1.4283369665682306e-13
332,7.33430296619931,4.75467187072853e-14,7.44167456947057e-14
