horizon,k,p_empirical,p_markov_DP,p_iid_path_count,abs_diff_emp_vs_markov,abs_diff_emp_vs_iid
500,201,0.00034,0.0003738539535370264,2.304858225705958e-06,3.3853953537026386e-05,0.00033769514177429407
500,202,0.00057,0.0004424651823611178,3.411646581616053e-06,0.00012753481763888217,0.0005665883534183839
500,203,0.00059,0.0005217881827869486,5.008229957248302e-06,6.821181721305145e-05,0.0005849917700427518
500,204,0.00063,0.0006131275438392165,7.2913936142277825e-06,1.687245616078354e-05,0.0006227086063857722
500,205,0.00064,0.0007178805977891636,1.0528061023472411e-05,7.788059778916355e-05,0.0006294719389765277
500,206,0.00079,0.0008375325119997306,1.5076592242349183e-05,4.753251199973057e-05,0.0007749234077576508
500,207,0.00113,0.0009736489253962123,2.1413131010873685e-05,0.00015635107460378766,0.0011085868689891263
500,208,0.00114,0.0011278658858336478,3.016368935667101e-05,1.213411416635217e-05,0.0011098363106433289
500,209,0.00139,0.0013018768743741373,4.214257077581643e-05,8.812312562586264e-05,0.0013478574292241836
500,210,0.00134,0.0014974167432506213,5.8397562360789585e-05,0.00015741674325062127,0.0012816024376392104
500,211,0.00168,0.0017162424464746105,8.026205253375703e-05,3.624244647461045e-05,0.001599737947466243
500,212,0.00214,0.0019601105056872258,0.00010941383576536595,0.00017988949431277422,0.002030586164234634
500,213,0.00255,0.002230751228590889,0.00014793983427432506,0.00031924877140911134,0.002402060165725675
500,214,0.00256,0.0025298397823141534,0.00019840529176037527,3.0160217685846775e-05,0.0023615947082396248
500,215,0.00272,0.002858964318048599,0.00026392517880690193,0.00013896431804859884,0.0024560748211930983
500,216,0.00298,0.0032195914444446564,0.0003482346109257226,0.00023959144444465636,0.0026317653890742775
500,217,0.0036,0.003613029453251756,0.00045575405300888266,1.3029453251755911e-05,0.0031442459469911174
500,218,0.00392,0.00404038980874933,0.0005916440229425254,0.00012038980874932992,0.0033283559770574747
500,219,0.00481,0.004502547519421989,0.0007618429884466133,0.00030745248057801114,0.004048157011553387
500,220,0.00503,0.005000101112510558,0.0009730812716070769,2.9898887489441736e-05,0.004056918728392923
500,221,0.00571,0.005533333025685682,0.0012328631495469471,0.0001766669743143174,0.004477136850453053
500,222,0.00554,0.0061021713111653764,0.0015494090933500877,0.0005621713111653766,0.003990590906649912
500,223,0.00661,0.006706153612150643,0.001931550349556585,9.615361215064254e-05,0.004678449650443416
500,224,0.00677,0.007344394415653252,0.002388568959049749,0.000574394415653252,0.004381431040950251
500,225,0.00842,0.008015556606118912,0.002929977923101631,0.0004044433938810883,0.005490022076898369
500,226,0.00856,0.008717828337672439,0.00356523862324342,0.0001578283376724391,0.004994761376756579
500,227,0.00918,0.009448906206939806,0.00430341578312183,0.0002689062069398049,0.004876584216878171
500,228,0.01003,0.010205985641646804,0.005152774161369942,0.00017598564164680343,0.004877225838630058
500,229,0.01065,0.010985759321901416,0.006120325641452586,0.0003357593219014167,0.004529674358547414
500,230,0.01136,0.011784424321625457,0.007211340212319381,0.0004244243216254568,0.004148659787680619
500,231,0.013,0.012597698498515025,0.008428839209206713,0.0004023015014849741,0.004571160790793286
500,232,0.01364,0.013420846474832614,0.009773093738259167,0.00021915352516738498,0.003866906261740832
500,233,0.01428,0.014248715342057662,0.011241155029413242,3.1284657942337243e-05,0.0030388449705867574
500,234,0.01543,0.015075779994816631,0.012826446123308712,0.0003542200051833682,0.002603553876691287
500,235,0.01637,0.015896197759417544,0.014518445399146936,0.0004738022405824556,0.0018515546008530635
500,236,0.0167,0.016703871736381007,0.016302491655822964,3.871736381007296e-06,0.00039750834417703537
500,237,0.01737,0.017492522031858578,0.01815973754065922,0.00012252203185857818,0.0007897375406592209
500,238,0.01815,0.018255763817406245,0.020067272996615666,0.00010576381740624516,0.0019172729966156661
500,239,0.01864,0.018987190938995112,0.02199843315946976,0.0003471909389951115,0.0033584331594697613
500,240,0.0194,0.0196804636019781,0.02392329606091492,0.00028046360197810094,0.0045232960609149185
500,241,0.01975,0.02032939849611096,0.025809365044973685,0.0005793984961109597,0.006059365044973685
500,242,0.02122,0.02092805960001407,0.027622419614242937,0.00029194039998593074,0.006402419614242937
500,243,0.02117,0.021470847823000794,0.02932750724476354,0.00030084782300079244,0.008157507244763537
500,244,0.02191,0.021952587608067342,0.030890038368463248,4.2587608067343186e-05,0.008980038368463249
500,245,0.02291,0.022368608635656373,0.03227693805030921,0.0005413913643436269,0.009366938050309213
500,246,0.0229,0.02271482083458308,0.03345780163751075,0.00018517916541692034,0.010557801637510748
500,247,0.02275,0.02298778102356866,0.03440599844505345,0.00023778102356866032,0.011655998445053453
500,248,0.02292,0.023184749671770907,0.03509966776854869,0.0002647496717709079,0.012179667768548692
500,249,0.02363,0.023303736475483016,0.035522555332023587,0.00032626352451698565,0.011892555332023585
500,250,0.02331,0.023343533695191678,0.03566464555334566,3.3533695191677315e-05,0.012354645553345662
500,251,0.02342,0.023303736475483016,0.035522555332023587,0.0001162635245169838,0.012102555332023587
500,252,0.02361,0.023184749671770907,0.03509966776854869,0.00042525032822909176,0.011489667768548692
500,253,0.02304,0.02298778102356866,0.03440599844505345,5.221897643134174e-05,0.011365998445053451
500,254,0.02247,0.02271482083458308,0.03345780163751075,0.0002448208345830795,0.010987801637510747
500,255,0.02203,0.022368608635656373,0.03227693805030921,0.00033860863565637195,0.010246938050309212
500,256,0.02137,0.021952587608067342,0.030890038368463248,0.000582587608067342,0.009520038368463248
500,257,0.02162,0.021470847823000794,0.02932750724476354,0.00014915217699920658,0.007707507244763538
500,258,0.02063,0.02092805960001407,0.027622419614242937,0.0002980596000140695,0.0069924196142429375
500,259,0.02074,0.02032939849611096,0.025809365044973685,0.0004106015038890416,0.005069365044973684
500,260,0.01965,0.0196804636019781,0.02392329606091492,3.046360197810072e-05,0.004273296060914918
500,261,0.01867,0.018987190938995112,0.02199843315946976,0.00031719093899511275,0.0033284331594697625
500,262,0.01838,0.018255763817406245,0.020067272996615666,0.00012423618259375588,0.001687272996615665
500,263,0.01805,0.017492522031858578,0.01815973754065922,0.0005574779681414219,0.0001097375406592209
500,264,0.01614,0.016703871736381007,0.016302491655822964,0.0005638717363810053,0.00016249165582296263
500,265,0.01648,0.015896197759417544,0.014518445399146936,0.000583802240582458,0.001961554600853066
500,266,0.01493,0.015075779994816631,0.012826446123308712,0.0001457799948166305,0.0021035538766912883
500,267,0.01356,0.014248715342057662,0.011241155029413242,0.0006887153420576629,0.0023188449705867573
500,268,0.01345,0.013420846474832614,0.009773093738259167,2.9153525167385785e-05,0.0036769062617408328
500,269,0.01279,0.012597698498515025,0.008428839209206713,0.00019230150148497396,0.004361160790793286
500,270,0.01189,0.011784424321625457,0.007211340212319381,0.00010557567837454242,0.004678659787680619
500,271,0.01084,0.010985759321901416,0.006120325641453281,0.00014575932190141576,0.004719674358546719
500,272,0.01046,0.010205985641646804,0.005152774161369942,0.0002540143583531964,0.005307225838630058
500,273,0.01011,0.009448906206939806,0.004303415783121341,0.0006610937930601937,0.005806584216878658
500,274,0.00857,0.008717828337672439,0.00356523862324342,0.0001478283376724395,0.005004761376756579
500,275,0.00818,0.008015556606118912,0.002929977923101631,0.0001644433938810877,0.005250022076898369
500,276,0.00703,0.007344394415653252,0.0023885689590494776,0.0003143944156532522,0.004641431040950522
500,277,0.00653,0.006706153612150643,0.001931550349556585,0.00017615361215064275,0.004598449650443415
500,278,0.00655,0.0061021713111653764,0.0015494090933499116,0.00044782868883462383,0.005000590906650088
500,279,0.0058,0.005533333025685682,0.0012328631495470872,0.0002666669743143172,0.004567136850452912
500,280,0.00509,0.005000101112510558,0.0009730812716069663,8.98988874894419e-05,0.004116918728393034
