horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
100,1.0,20,2.3986500044706963e-20,0.0,1.51210135030121e-19,2.3986500044706963e-20,1.2722363498541403e-19
500,5.0,0,0.0065704830424146,0.00652,0.006737946999085467,5.048304241460008e-05,0.00016746395667086716
500,5.0,1,0.03318425778996986,0.03277,0.03368973499542734,0.00041425778996986157,0.0005054772054574747
500,5.0,2,0.08363103352118349,0.084145,0.08422433748856835,0.0005139664788165049,0.0005933039673848561
500,5.0,3,0.1402298137829388,0.13998,0.14037389581428045,0.0002498137829388125,0.00014408203134164133
500,5.0,4,0.1759954986115404,0.175815,0.17546736976785077,0.0001804986115404028,0.0005281288436896348
500,5.0,5,0.17635104507332824,0.17597,0.17546736976785055,0.00038104507332825666,0.0008836753054776991
500,5.0,6,0.1469592042277577,0.147605,0.1462228081398753,0.0006457957722422747,0.0007363960878824238
500,5.0,7,0.104758797818912,0.104455,0.10444486295705395,0.0003037978189119883,0.0003139348618580451
500,5.0,8,0.06520970621809895,0.06519,0.06527803934815878,1.97062180989499e-05,6.833313005982777e-05
500,5.0,9,0.03600805326519748,0.035885,0.03626557741564378,0.00012305326519748,0.00025752415044629634
500,5.0,10,0.017858539548703024,0.01806,0.018132788707821885,0.000201460451296976,0.00027424915911886116
500,5.0,11,0.008035522845605447,0.008285,0.008242176685373562,0.0002494771543945541,0.0002066538397681155
500,5.0,12,0.003307551070287839,0.003385,0.0034342402855723226,7.744892971216092e-05,0.00012668921528448352
500,5.0,13,0.0012541452387728152,0.00125,0.0013208616482970467,4.145238772815208e-06,6.671640952423145e-05
500,5.0,14,0.00044067008029014475,0.00043,0.0004717363029632305,1.0670080290144763e-05,3.106622267308576e-05
500,5.0,15,0.00014421929900407935,0.000175,0.0001572454343210772,3.078070099592065e-05,1.3026135316997862e-05
500,5.0,16,4.4158055566271466e-05,5e-05,4.9139198225336575e-05,5.841944433728536e-06,4.981142659065108e-06
500,5.0,17,1.2699048659581274e-05,3e-05,1.445270536039306e-05,1.730095134041873e-05,1.7536567008117852e-06
500,5.0,18,3.441998037362361e-06,0.0,4.01464037788697e-06,3.441998037362361e-06,5.726423405246087e-07
500,5.0,19,8.820005603448201e-07,0.0,1.0564843099702562e-06,8.820005603448201e-07,1.744837496254361e-07
500,5.0,20,2.142637724877968e-07,0.0,2.6412107749256406e-07,2.142637724877968e-07,4.985730500476725e-08
1000,10.0,0,4.3171247410657815e-05,6e-05,4.5399929762484854e-05,1.6828752589342186e-05,2.228682351827039e-06
1000,10.0,1,0.00043607320616829867,0.000475,0.0004539992976248486,3.892679383170133e-05,1.792609145654994e-05
1000,10.0,2,0.0022001875402093236,0.0021,0.0022699964881242435,0.00010018754020932373,6.980894791491993e-05
1000,10.0,3,0.007393222778222065,0.00752,0.007566654960414144,0.00012677722177793435,0.00017343218219207854
1000,10.0,4,0.018613745226976394,0.019005,0.018916637401035385,0.00039125477302360753,0.00030289217405899196
1000,10.0,5,0.037453111608249434,0.037215,0.03783327480207076,0.0002381116082494361,0.0003801631938213229
1000,10.0,6,0.06273711456262827,0.062045,0.06305545800345119,0.000692114562628271,0.00031834344082291854
1000,10.0,7,0.08998656836251667,0.08998,0.090079225719216,6.568362516667925e-06,9.265735669933273e-05
1000,10.0,8,0.1128240686666775,0.11307,0.1125990321490203,0.0002459313333224994,0.00022503651765720667
1000,10.0,9,0.1256133289756841,0.12579,0.12511003572113394,0.00017667102431589976,0.0005032932545501745
1000,10.0,10,0.12574021112611036,0.124605,0.12511003572113394,0.0011352111261103692,0.0006301754049764241
1000,10.0,11,0.11430928284202055,0.113605,0.11373639611012128,0.000704282842020551,0.000572886731899272
1000,10.0,12,0.09516151576670165,0.095745,0.09478033009176803,0.0005834842332983481,0.0003811856749336151
1000,10.0,13,0.07305328483093601,0.073325,0.07290794622443707,0.00027171516906399074,0.00014533860649894315
1000,10.0,14,0.05202279374322038,0.052585,0.05207710444602615,0.000562206256779621,5.431070280577377e-05
1000,10.0,15,0.03454173375814031,0.034345,0.03471806963068437,0.00019673375814031197,0.00017633587254405753
1000,10.0,16,0.021479550348347958,0.021795,0.02169879351917767,0.00031544965165204025,0.0002192431708297124
1000,10.0,17,0.012558453679602021,0.01252,0.012763996187751505,3.8453679602021285e-05,0.00020554250814948383
1000,10.0,18,0.006927586962416684,0.00721,0.007091108993195334,0.00028241303758331626,0.00016352203077864974
1000,10.0,19,0.003616634979851471,0.00355,0.003732162627997529,6.663497985147067e-05,0.00011552764814605791
1000,10.0,20,0.0017918782400170178,0.001955,0.0018660813139987742,0.00016312175998298237,7.420307398175638e-05
1000,10.0,21,0.0008446564094356982,0.00088,0.0008886101495232241,3.534359056430185e-05,4.395374008752588e-05
1000,10.0,22,0.0003796687901002558,0.000355,0.00040391370432873855,2.466879010025577e-05,2.4244914228482774e-05
1000,10.0,23,0.00016307249746058667,0.000155,0.00017561465405597286,8.072497460586667e-06,1.2542156595386197e-05
1000,10.0,24,6.705464226394129e-05,7.5e-05,7.317277252332212e-05,7.945357736058705e-06,6.118130259380835e-06
1000,10.0,25,2.6442557919018597e-05,2.5e-05,2.9269109009328823e-05,1.4425579190185956e-06,2.8265510903102262e-06
1000,10.0,26,1.0016120423870456e-05,5e-06,1.1257349618972581e-05,5.016120423870455e-06,1.2412291951021253e-06
1000,10.0,27,3.649719900054077e-06,0.0,4.169388747767612e-06,3.649719900054077e-06,5.196688477135351e-07
1000,10.0,28,1.2810885507775594e-06,5e-06,1.489067409917024e-06,3.718911449222441e-06,2.0797885913946464e-07
10000,100.0,0,2.2487748498162865e-44,0.0,3.720075976020836e-44,2.2487748498162865e-44,1.4713011262045496e-44
10000,100.0,1,2.2714897472673896e-42,0.0,3.720075976020818e-42,2.2714897472673896e-42,1.4485862287534283e-42
10000,100.0,2,1.1471023223658232e-40,0.0,1.8600379880104227e-40,1.1471023223658232e-40,7.129356656445996e-41
10000,100.0,3,3.8615249222420925e-39,0.0,6.200126626701393e-39,3.8615249222420925e-39,2.3386017044593003e-39
10000,100.0,4,9.748400163631882e-38,0.0,1.550031656675357e-37,9.748400163631882e-38,5.751916403121689e-38
