t,P_X_t_red_unconditional,P_X_t_red_unconditional_expected,mean_conditional_prediction,mean_squared_residual
75,0.4989,0.5,0.49933653846153936,0.24170791420117235
76,0.5014,0.5,0.49935399999999647,0.24279528000000306
77,0.4992,0.5,0.49926874999999515,0.24329557291666215
78,0.4987,0.5,0.499271739130436,0.24132901701326842
79,0.5001,0.5,0.49929772727272603,0.23998935950413192
80,0.5,0.5,0.4992595238095231,0.2406468253968483
81,0.50045,0.5,0.499222500000001,0.2396481249999737
82,0.49905,0.5,0.49915789473684047,0.2384170360110801
83,0.50075,0.5,0.4991638888888873,0.23913811728396517
84,0.5061,0.5,0.49907058823529477,0.23654948096886905
85,0.4974,0.5,0.49863125,0.2361796875
86,0.4994,0.5,0.49871333333333195,0.23683333333334744
87,0.4972,0.5,0.49866428571428423,0.23435357142857582
88,0.496,0.5,0.49877692307692595,0.23387928994081575
89,0.4996,0.5,0.4990083333333318,0.2313250000000327
90,0.4985,0.5,0.49895454545454393,0.22949586776859637
91,0.4971,0.5,0.4990000000000017,0.22688999999998788
92,0.5018,0.5,0.4992111111111121,0.22653333333336237
93,0.5027,0.5,0.4988875,0.22100625
94,0.49735,0.5,0.4983428571428547,0.2157826530612513
95,0.4962,0.5,0.4985083333333318,0.20972083333335304
96,0.49985,0.5,0.4989699999999987,0.20206799999998043
97,0.50105,0.5,0.49875,0.18930625
98,0.49565,0.5,0.4979833333333352,0.16741111111112736
99,0.49915,0.5,0.49915,0.126875
100,0.49915,0.5,0.49915,0.0
