horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
10,-415.0,3.19095591922323e-05,1.84714862140601e-05,1.3438072978172204e-05
10,-405.0,1.7727532884573502e-05,1.9394357117062648e-05,1.666824232489146e-06
10,-395.0,2.1779540401047444e-05,2.038814323034688e-05,1.3913971707005645e-06
10,-385.0,2.4312045098843656e-05,2.1460299085372707e-05,2.8517460134709487e-06
10,-375.0,1.924703570325123e-05,2.261928485939177e-05,3.372249156140541e-06
10,-365.0,2.7351050736199116e-05,2.3874733634636468e-05,3.4763171015626477e-06
10,-355.0,2.4818546038402904e-05,2.523765202646507e-05,4.191059880621655e-07
10,-345.0,2.988355543399533e-05,2.672066200913248e-05,3.16289342486285e-06
10,-335.0,2.684454979663987e-05,2.8338293895730308e-05,1.4937440990904366e-06
10,-325.0,2.7351050736199116e-05,3.0107343219086373e-05,2.7562924828872567e-06
10,-315.0,3.5455065769147004e-05,3.204730794702146e-05,3.407757822125544e-06
10,-305.0,2.7857551675758357e-05,3.418092737544061e-05,6.3233756996822515e-06
10,-295.0,3.19095591922323e-05,3.653485063802476e-05,4.6252914457924575e-06
10,-285.0,3.9000572346061705e-05,3.914047171027245e-05,1.398993642107426e-07
10,-275.0,4.153307704385791e-05,4.203498001766797e-05,5.019029738100573e-07
10,-265.0,4.913059113724655e-05,4.5262692667442685e-05,3.867898469803868e-06
10,-255.0,4.355908080209489e-05,4.887675795528455e-05,5.317677153189665e-06
10,-245.0,4.913059113724655e-05,5.2941353211441276e-05,3.810762074194723e-06
10,-235.0,5.774110710975369e-05,5.75345478868126e-05,2.0655922294109125e-07
10,-225.0,6.331261744490536e-05,6.275207219000309e-05,5.605452549022722e-07
10,-215.0,5.976711086799066e-05,6.871233376876216e-05,8.945222900771493e-06
10,-205.0,8.86376644228675e-05,7.556317772908978e-05,1.3074486693777718e-05
10,-195.0,9.978068509317084e-05,8.349111768755166e-05,1.6289567405619186e-05
10,-185.0,8.357265502727507e-05,9.273412561800165e-05,9.161470590726573e-06
10,-175.0,0.00010383269260964479,0.00010359963748862188,2.3305512102290852e-07
10,-165.0,0.00012713173582936998,0.00011649035175985022,1.0641384069519767e-05
