horizon,k,p_convolution_exact,p_convolution_empirical,p_path_count,abs_diff_exact,abs_diff_empirical
500,123,1.7698668148671562e-31,3.820842471239768e-32,1.7698668148671567e-31,4.3790577010150533e-47,1.3877825677431799e-31
500,124,5.380966041975145e-31,1.1756834209509773e-31,5.380966041975145e-31,0.0,4.205282621024168e-31
500,125,1.618594585426124e-30,3.5791493607664618e-31,1.618594585426124e-30,0.0,1.2606796493494776e-30
500,126,4.817245789958702e-30,1.0780828593378904e-30,4.817245789958702e-30,0.0,3.739162930620811e-30
500,127,1.4186219885390193e-29,3.213154575711951e-30,1.4186219885390193e-29,0.0,1.0973065309678242e-29
500,128,4.133953138476985e-29,9.476371484225674e-30,4.1339531384769856e-29,5.605193857299268e-45,3.186315990054418e-29
500,129,1.1921167190026654e-28,2.765711675701295e-29,1.1921167190026656e-28,2.2420775429197073e-44,9.15545551432536e-29
500,130,3.402117713461453e-28,7.988202336134434e-29,3.4021177134614534e-28,4.484155085839415e-44,2.60329747984801e-28
500,131,9.609034763211738e-28,2.2834477656442156e-28,9.60903476321174e-28,1.793662034335766e-43,7.325586997567524e-28
500,132,2.6861619906250997e-27,6.460336098986736e-28,2.6861619906250997e-27,0.0,2.0401283807264262e-27
500,133,7.43238806428599e-27,1.8091013044686774e-27,7.43238806428599e-27,0.0,5.623286759817313e-27
500,134,2.0355868802932525e-26,5.014593680083822e-27,2.0355868802932527e-26,2.8698592549372254e-42,1.5341275122848706e-26
500,135,5.51870220879504e-26,1.3759246848737934e-26,5.51870220879504e-26,0.0,4.142777523921247e-26
500,136,1.481122283978081e-25,3.7373193945940955e-26,1.4811222839780807e-25,4.591774807899561e-41,1.107390344518671e-25
500,137,3.935244608525705e-25,1.004968912151775e-25,3.9352446085257035e-25,1.3775324423698682e-40,2.9302756963739284e-25
500,138,1.0351404296339354e-24,2.675418725408691e-25,1.035140429633935e-24,3.6734198463196485e-40,7.675985570930659e-25
500,139,2.6958333491185946e-24,7.051753601244401e-25,2.6958333491185935e-24,1.1020259538958945e-39,1.9906579889941534e-24
500,140,6.951398850227233e-24,1.840296887287672e-24,6.95139885022723e-24,2.938735877055719e-39,5.111101962939558e-24
500,141,1.7748252383558893e-23,4.755354258173889e-24,1.7748252383558885e-23,8.816207631167156e-39,1.2992898125384995e-23
500,142,4.487058173026508e-23,1.2167478191377367e-23,4.487058173026507e-23,1.1754943508222875e-38,3.27031035388877e-23
500,143,1.1233334447157271e-22,3.0828980425688224e-23,1.123333444715727e-22,2.350988701644575e-38,8.150436404588446e-23
500,144,2.7849308316910734e-22,7.735287899649648e-23,2.784930831691073e-22,4.70197740328915e-38,2.0114020417261082e-22
500,145,6.837485352289808e-22,1.9220738688884525e-22,6.837485352289806e-22,1.88079096131566e-37,4.915411483401354e-22
500,146,1.6625392466184124e-21,4.729956732147219e-22,1.662539246618412e-21,3.76158192263132e-37,1.1895435734036901e-21
500,147,4.003665940836177e-21,1.152801921241186e-21,4.0036659408361754e-21,1.504632769052528e-36,2.8508640195949895e-21
500,148,9.549284304832231e-21,2.7827825919525764e-21,9.54928430483223e-21,1.504632769052528e-36,6.7665017128796534e-21
500,149,2.2559383055711042e-20,6.653455695255498e-21,2.255938305571104e-20,3.009265538105056e-36,1.590592736045554e-20
500,150,5.278895635036383e-20,1.5757043103480133e-20,5.2788956350363835e-20,6.018531076210112e-36,3.70319132468837e-20
500,151,1.223585080968698e-19,3.696386848731698e-20,1.223585080968698e-19,0.0,8.539463960955282e-20
500,152,2.809415745118919e-19,8.589558696048705e-20,2.8094157451189185e-19,4.81482486096809e-35,1.950459875514048e-19
500,153,6.390043655564599e-19,1.9772895048607325e-19,6.390043655564599e-19,0.0,4.412754150703867e-19
500,154,1.4398345120005948e-18,4.509107730380949e-19,1.4398345120005948e-18,0.0,9.889237389624999e-19
500,155,3.2140822009819732e-18,1.0187007090024531e-18,3.214082200981973e-18,3.851859888774472e-34,2.19538149197952e-18
500,156,7.108066406017825e-18,2.2800937359637404e-18,7.108066406017825e-18,0.0,4.827972670054085e-18
500,157,1.5574362061593193e-17,5.056186537329428e-18,1.5574362061593196e-17,3.0814879110195774e-33,1.0518175524263767e-17
500,158,3.3810165741306745e-17,1.1108916882292604e-17,3.3810165741306745e-17,0.0,2.270124885901414e-17
500,159,7.272375272658432e-17,2.4183118023781268e-17,7.272375272658432e-17,0.0,4.8540634702803056e-17
