horizon,x,empirical_density,analytical_gamma_density,abs_diff
2,2.648358469119041,0.1868516250162106,0.18741713710909513,0.0005655120928845236
2,2.830668898568315,0.16587092735917203,0.1669341501302353,0.0010632227710632713
2,3.0129793280175887,0.1481813195306889,0.14807299330061116,0.00010832623007772657
2,3.195289757466863,0.12796854283364725,0.1308619951988894,0.0028934523652421607
2,3.377600186916137,0.1149138865137121,0.11527499624492563,0.0003611097312135325
2,3.5599106163654106,0.10268200265091626,0.10124872359144463,0.0014332790594716316
2,3.7422210458146843,0.08907883135955533,0.08869588809894191,0.00038294326061341644
2,3.924531475263958,0.0789313043881778,0.0775149467045518,0.00141635768362601
2,4.106841904713232,0.06694625226252313,0.06759727789400677,0.0006510256314836427
2,4.289152334162505,0.060693181588268315,0.05883236138094321,0.0018608202073251076
2,4.47146276361178,0.05051822886831937,0.051111427924270716,0.0005931990559513434
2,4.6537731930610535,0.04492337615977586,0.04432994534524047,0.0005934308145353895
2,4.836083622510328,0.036092285119819746,0.03838922728352799,0.0022969421637082446
2,5.018394051959602,0.03211555157698262,0.0331973880480441,0.0010818364710614772
2,5.200704481408875,0.029345550971282153,0.028669816836073662,0.000675734135208491
2,5.383014910858149,0.02339416353131185,0.024729305001704345,0.0013351414703924938
2,5.565325340307423,0.0205693114284687,0.021305928846058867,0.0007366174175901657
2,5.747635769756697,0.017936439565624795,0.01833676588268846,0.000400326317063663
2,5.929946199205971,0.015001884468496578,0.015765503338783425,0.0007636188702868467
2,6.1122566286552455,0.013383765302790302,0.013541982692236141,0.00015821738944583885
2,6.294567058104519,0.012149606617082238,0.01162171243850947,0.0005278941785727687
2,6.476877487553793,0.010504061702804733,0.009965372327126338,0.0005386893756783948
2,6.659187917003067,0.008337427565672687,0.008538325443829773,0.00020089787815708547
2,6.84149834645234,0.007459803611391315,0.007310149293011779,0.0001496543183795362
2,7.023808775901615,0.006115941931398057,0.006254193099105453,0.00013825116770739554
2,7.2061192053508885,0.005128614982831555,0.005347165611811225,0.00021855062897967008
2,7.388429634800163,0.005101189234260238,0.004568755543593163,0.0005324336906670744
2,7.570740064249437,0.0043881197714066775,0.003901285211208242,0.0004868345601984356
2,7.75305049369871,0.0036201988114105093,0.0033293968561028267,0.0002908019553076826
2,7.935360923147984,0.0028522778514143404,0.0028397703713249948,1.2507480089345591e-05
2,8.117671352597258,0.002084356891418172,0.0024208706790491584,0.00033651378763098656
2,8.299981782046531,0.0019472281485617131,0.002062722715772163,0.00011549456721044967
2,8.482292211495807,0.0015358419199923222,0.0017567118396458353,0.00022086991965351312
2,8.66460264094508,0.0013164359314220032,0.0014954074360877213,0.00017897150466571806
2,8.846913070394354,0.0012067329371368363,0.001272407532964668,6.567459582783168e-05
2,9.029223499843628,0.0012890101828507115,0.0010822023218468935,0.00020680786100381798
2,9.211533929292901,0.0009050497028526273,0.0009200545994242963,1.5004896571669006e-05
2,9.393844358742175,0.000822772457138752,0.000781895279999163,4.087717713958906e-05
2,9.576154788191449,0.0007130694628535851,0.0006642322763448675,4.8837186508717575e-05
2,9.758465217640722,0.0005759407199971209,0.0005640711951642945,1.186952483282636e-05
2,9.940775647089998,0.0006307922171397099,0.0004788464399728177,0.0001519457771668922
2,10.123086076539272,0.0003291089828555008,0.00040636145511613477,7.725247226063396e-05
2,10.305396505988545,0.00038396047999808433,0.00034473697764338346,3.9223502354700875e-05
2,10.487706935437819,0.0003291089828555008,0.00029236628760266885,3.674269525283196e-05
2,10.670017364887093,0.0002194059885703339,0.0002478765613693309,2.8470572798997012e-05
2,10.852327794336366,0.00019198023999904217,0.0002100955366849249,1.811529668588273e-05
2,11.034638223785642,0.00019198023999904027,0.0001780227923343986,1.3957447664641673e-05
2,11.216948653234915,0.00038396047999808433,0.00015080503020241802,0.00023315544979566632
2,11.399259082684189,8.22772457138752e-05,0.00012771482335465623,4.5437577640781025e-05
2,11.581569512133463,0.00013712874285645867,0.00010813236139982752,2.8996381456631153e-05
2,11.763879941582736,5.4851497142583475e-05,9.152978435985015e-05,3.667828721726668e-05
2,11.94619037103201,2.7425748571291738e-05,7.745774927696103e-05,5.00320007056693e-05
2,12.128500800481284,5.4851497142583475e-05,6.553392047538848e-05,1.0682423332805006e-05
2,12.310811229930557,2.7425748571291467e-05,5.5433115403353814e-05,2.8007366832062347e-05
2,12.493121659379833,2.7425748571291738e-05,4.6878873905376274e-05,1.9453125334084536e-05
2,12.675432088829107,0.0,3.963625017066346e-05,3.963625017066346e-05
2,12.85774251827838,0.0,3.350565398239024e-05,3.350565398239024e-05
2,13.040052947727654,5.4851497142583475e-05,2.831759172174061e-05,2.6533905420842865e-05
2,13.222363377176928,0.0,2.3928178282517295e-05,2.3928178282517295e-05
2,13.404673806626201,0.0,2.0215309007393104e-05,2.0215309007393104e-05
2,13.586984236075477,2.7425748571291467e-05,1.7075396305997447e-05,1.035035226529402e-05
2,13.76929466552475,0.0,1.4420589061304269e-05,1.4420589061304269e-05
2,13.951605094974024,0.0,1.217640454325166e-05,1.217640454325166e-05
2,14.133915524423298,2.7425748571291738e-05,1.0279712564950436e-05,1.7146036006341302e-05
2,14.316225953872571,2.7425748571291738e-05,8.677020246675428e-06,1.874872832461631e-05
2,14.498536383321845,2.7425748571291738e-05,7.323013180050378e-06,2.010273539124136e-05
10,1.2526326697071775,2.5003860908544134e-05,5.979145463928258e-06,1.9024715444615877e-05
10,1.6525709047092318,8.751351317990448e-05,4.852610824523657e-05,3.8987404934667914e-05
10,2.052509139711286,0.00022503474817689735,0.0002287754776983926,3.740729521495257e-06
10,2.4524473747133397,0.0008501312708905002,0.0007612895661380791,8.884170475242112e-05
10,2.8523856097153946,0.0021253281772262503,0.0019876310268856605,0.0001376971503405898
10,3.2523238447174485,0.004550702685355035,0.004340249712713075,0.0002104529726419599
10,3.6522620797195025,0.008301281821636648,0.00826298771249285,3.829410914379765e-05
10,4.052200314721556,0.01430220843968727,0.014112595193283495,0.00018961324640377406
10,4.45213854972361,0.021728355129524868,0.022070684452344898,0.00034232932282003
10,4.852076784725664,0.0313048338574972,0.03208897012163664,0.0007841362641394373
10,5.25201501972772,0.043731752729043616,0.043878266335170626,0.0001465136061270106
10,5.651953254729774,0.05463343608516897,0.05693927175743366,0.0023058356722646875
10,6.051891489731828,0.07116098814571664,0.07062428772937546,0.0005367004163411848
10,6.451829724733882,0.08610079503857178,0.08421491081668174,0.0018858842218900385
10,6.851767959735936,0.09632737415016634,0.09700090193199758,0.0006735277818312319
10,7.25170619473799,0.1087417910912585,0.10834847028645106,0.00039332080480744547
10,7.651644429740044,0.1199435207782863,0.11775057487244285,0.0021929459058434436
10,8.051582664742098,0.1250068026122665,0.12485626828059856,0.00015053433166792307
10,8.451520899744153,0.12776972924266003,0.1294797656252982,0.0017100363826381693
