horizon,k,p_path_count,p_empirical,abs_diff
50,279,4.670114692726943e-22,0.0,4.670114692726943e-22
50,280,1.4074867726158124e-22,0.0,1.4074867726158124e-22
50,281,4.095276242089207e-23,0.0,4.095276242089207e-23
50,282,1.1478469130064759e-23,0.0,1.1478469130064759e-23
50,283,3.091512802267124e-24,0.0,3.091512802267124e-24
50,284,7.978718495873949e-25,0.0,7.978718495873949e-25
50,285,1.9669709997043744e-25,0.0,1.9669709997043744e-25
50,286,4.6153050455354825e-26,0.0,4.6153050455354825e-26
50,287,1.0264601773436059e-26,0.0,1.0264601773436059e-26
50,288,2.1534700063937524e-27,0.0,2.1534700063937524e-27
50,289,4.2379059041724705e-28,0.0,4.2379059041724705e-28
50,290,7.771269334855785e-29,0.0,7.771269334855785e-29
50,291,1.317334602058025e-29,0.0,1.317334602058025e-29
50,292,2.0442731646373282e-30,0.0,2.0442731646373282e-30
50,293,2.869235085184927e-31,0.0,2.869235085184927e-31
50,294,3.586576332799405e-32,0.0,3.586576332799405e-32
50,295,3.91263547501613e-33,0.0,3.91263547501613e-33
50,296,3.6228106250149347e-34,0.0,3.6228106250149347e-34
50,297,2.734196698124479e-35,0.0,2.734196698124479e-35
50,298,1.5774211719948925e-36,0.0,1.5774211719948925e-36
50,299,6.185965380372126e-38,0.0,6.185965380372126e-38
50,300,1.2371930760744252e-39,0.0,1.2371930760744252e-39
500,500,0.0,0.0,0.0
500,501,0.0,0.0,0.0
500,502,0.0,0.0,0.0
500,503,0.0,0.0,0.0
500,504,0.0,0.0,0.0
500,505,0.0,0.0,0.0
500,506,0.0,0.0,0.0
500,507,0.0,0.0,0.0
500,508,0.0,0.0,0.0
500,509,0.0,0.0,0.0
500,510,0.0,0.0,0.0
500,511,0.0,0.0,0.0
500,512,0.0,0.0,0.0
500,513,0.0,0.0,0.0
500,514,0.0,0.0,0.0
500,515,0.0,0.0,0.0
500,516,0.0,0.0,0.0
500,517,0.0,0.0,0.0
500,518,0.0,0.0,0.0
500,519,0.0,0.0,0.0
500,520,0.0,0.0,0.0
500,521,0.0,0.0,0.0
500,522,0.0,0.0,0.0
500,523,0.0,0.0,0.0
500,524,0.0,0.0,0.0
500,525,0.0,0.0,0.0
500,526,0.0,0.0,0.0
500,527,0.0,0.0,0.0
500,528,0.0,0.0,0.0
500,529,0.0,0.0,0.0
500,530,0.0,0.0,0.0
500,531,0.0,0.0,0.0
500,532,0.0,0.0,0.0
500,533,0.0,0.0,0.0
500,534,0.0,0.0,0.0
500,535,0.0,0.0,0.0
500,536,0.0,0.0,0.0
500,537,0.0,0.0,0.0
500,538,0.0,0.0,0.0
500,539,0.0,0.0,0.0
500,540,0.0,0.0,0.0
500,541,0.0,0.0,0.0
500,542,0.0,0.0,0.0
500,543,0.0,0.0,0.0
500,544,0.0,0.0,0.0
500,545,1e-323,0.0,1e-323
500,546,1.6e-322,0.0,1.6e-322
500,547,1.877e-321,0.0,1.877e-321
500,548,2.143e-320,0.0,2.143e-320
500,549,2.3969e-319,0.0,2.3969e-319
500,550,2.631814e-318,0.0,2.631814e-318
500,551,2.838166e-317,0.0,2.838166e-317
500,552,3.0072797e-316,0.0,3.0072797e-316
500,553,3.13201299e-315,0.0,3.13201299e-315
500,554,3.207304691e-314,0.0,3.207304691e-314
500,555,3.2305114907e-313,0.0,3.2305114907e-313
500,556,3.2015394886e-312,0.0,3.2015394886e-312
500,557,3.1227696598103e-311,0.0,3.1227696598103e-311
500,558,2.99879482168397e-310,0.0,2.99879482168397e-310
500,559,2.83600435914829e-309,0.0,2.83600435914829e-309
500,560,2.642066022672489e-308,0.0,2.642066022672489e-308
500,561,2.4253601298368304e-307,0.0,2.4253601298368304e-307
500,562,2.1944204485750205e-306,0.0,2.1944204485750205e-306
500,563,1.9574289103977517e-305,0.0,1.9574289103977517e-305
500,564,1.7217998139633738e-304,0.0,1.7217998139633738e-304
500,565,1.4938754019139923e-303,0.0,1.4938754019139923e-303
500,566,1.2787406788287567e-302,0.0,1.2787406788287567e-302
500,567,1.0801528201850089e-301,0.0,1.0801528201850089e-301
500,568,9.005707241551141e-301,0.0,9.005707241551141e-301
500,569,7.412638139566089e-300,0.0,7.412638139566089e-300
500,570,6.024761833614671e-299,0.0,6.024761833614671e-299
500,571,4.836222163061083e-298,0.0,4.836222163061083e-298
500,572,3.834922289526036e-297,0.0,3.834922289526036e-297
500,573,3.0045066648422676e-296,0.0,3.0045066648422676e-296
500,574,2.3261412861302878e-295,0.0,2.3261412861302878e-295
500,575,1.780012980926568e-294,0.0,1.780012980926568e-294
500,576,1.3465117876768013e-293,0.0,1.3465117876768013e-293
500,577,1.0070958141895288e-292,0.0,1.0070958141895288e-292
500,578,7.448637762132754e-292,0.0,7.448637762132754e-292
500,579,5.448767492816611e-291,0.0,5.448767492816611e-291
500,580,3.9427858359715643e-290,0.0,3.9427858359715643e-290
500,581,2.8226562509310954e-289,0.0,2.8226562509310954e-289
500,582,1.9995277159256555e-288,0.0,1.9995277159256555e-288
500,583,1.4017631277204545e-287,0.0,1.4017631277204545e-287
500,584,9.726603049966584e-287,0.0,9.726603049966584e-287
500,585,6.681088237885214e-286,0.0,6.681088237885214e-286
500,586,4.5435084190229614e-285,0.0,4.5435084190229614e-285
500,587,3.0595027765575164e-284,0.0,3.0595027765575164e-284
500,588,2.0402419860300738e-283,0.0,2.0402419860300738e-283
500,589,1.3475300472601102e-282,0.0,1.3475300472601102e-282
500,590,8.816060563400719e-282,0.0,8.816060563400719e-282
500,591,5.714025483422823e-281,0.0,5.714025483422823e-281
500,592,3.6693765550331856e-280,0.0,3.6693765550331856e-280
500,593,2.334934803993624e-279,0.0,2.334934803993624e-279
500,594,1.472442602238176e-278,0.0,1.472442602238176e-278
500,595,9.203030003888652e-278,0.0,9.203030003888652e-278
