horizon,k,p_empirical,p_hypergeometric,p_iid_path_count,abs_diff_emp_vs_hyper,abs_diff_emp_vs_iid
99,16,0.0,0.0,1.7836506813404288e-12,0.0,1.7836506813404288e-12
99,17,0.0,0.0,8.708412150074347e-12,0.0,8.708412150074347e-12
99,18,0.0,0.0,3.9671655350337656e-11,0.0,3.9671655350337656e-11
99,19,0.0,0.0,1.6912653070406198e-10,0.0,1.6912653070406198e-10
99,20,0.0,0.0,6.765061228162505e-10,0.0,6.765061228162505e-10
99,21,0.0,0.0,2.5449516048801386e-09,0.0,2.5449516048801386e-09
99,22,0.0,0.0,9.02301023548402e-09,0.0,9.02301023548402e-09
99,23,0.0,0.0,3.020746904922901e-08,0.0,3.020746904922901e-08
99,24,0.0,0.0,9.565698532256758e-08,0.0,9.565698532256758e-08
99,25,0.0,0.0,2.869709559676776e-07,0.0,2.869709559676776e-07
99,26,0.0,0.0,8.167634900618123e-07,0.0,8.167634900618123e-07
99,27,0.0,0.0,2.208286473130214e-06,0.0,2.208286473130214e-06
99,28,0.0,0.0,5.678450930906399e-06,0.0,5.678450930906399e-06
99,29,0.0,0.0,1.3902414348081658e-05,0.0,1.3902414348081658e-05
99,30,0.0,0.0,3.243896681218791e-05,0.0,3.243896681218791e-05
99,31,0.0,0.0,7.220286161422587e-05,0.0,7.220286161422587e-05
99,32,0.0,0.0,0.00015343108093023828,0.0,0.00015343108093023828
99,33,0.0,0.0,0.00031151158855533315,0.0,0.00031151158855533315
99,34,0.0,0.0,0.0006046989660191656,0.0,0.0006046989660191656
99,35,0.0,0.0,0.001123012365464122,0.0,0.001123012365464122
99,36,0.0,0.0,0.0019964664274918537,0.0,0.0019964664274918537
99,37,0.0,0.0,0.003399388781945478,0.0,0.003399388781945478
99,38,0.0,0.0,0.005546371170542668,0.0,0.005546371170542668
99,39,0.0,0.0,0.008675093369310067,0.0,0.008675093369310067
99,40,0.0,0.0,0.013012640053966155,0.0,0.013012640053966155
99,41,0.0,0.0,0.01872550641912173,0.0,0.01872550641912173
99,42,0.0,0.0,0.025859032674023986,0.0,0.025859032674023986
99,43,0.0,0.0,0.034278252614403634,0.0,0.034278252614403634
99,44,0.0,0.0,0.04362686696378838,0.0,0.04362686696378838
99,45,0.0,0.0,0.053321726289075805,0.0,0.053321726289075805
99,46,0.0,0.0,0.0625950699915211,0.0,0.0625950699915211
99,47,0.0,0.0,0.07058592999043906,0.0,0.07058592999043906
99,48,0.0,0.0,0.07646809082297985,0.0,0.07646809082297985
99,49,0.50055,0.5000000000000133,0.07958923738717662,0.0005499999999867278,0.42096076261282345
99,50,0.49945,0.5000000000000133,0.07958923738717662,0.0005500000000133176,0.4198607626128234
99,51,0.0,0.0,0.07646809082297985,0.0,0.07646809082297985
99,52,0.0,0.0,0.07058592999043906,0.0,0.07058592999043906
99,53,0.0,0.0,0.0625950699915211,0.0,0.0625950699915211
99,54,0.0,0.0,0.053321726289075805,0.0,0.053321726289075805
99,55,0.0,0.0,0.04362686696378761,0.0,0.04362686696378761
99,56,0.0,0.0,0.034278252614404,0.0,0.034278252614404
99,57,0.0,0.0,0.025859032674023986,0.0,0.025859032674023986
99,58,0.0,0.0,0.01872550641912173,0.0,0.01872550641912173
99,59,0.0,0.0,0.013012640053966016,0.0,0.013012640053966016
99,60,0.0,0.0,0.008675093369310098,0.0,0.008675093369310098
99,61,0.0,0.0,0.005546371170542746,0.0,0.005546371170542746
99,62,0.0,0.0,0.003399388781945575,0.0,0.003399388781945575
99,63,0.0,0.0,0.0019964664274918463,0.0,0.0019964664274918463
99,64,0.0,0.0,0.001123012365464118,0.0,0.001123012365464118
99,65,0.0,0.0,0.0006046989660191483,0.0,0.0006046989660191483
99,66,0.0,0.0,0.00031151158855532426,0.0,0.00031151158855532426
99,67,0.0,0.0,0.000153431080930241,0.0,0.000153431080930241
99,68,0.0,0.0,7.220286161422587e-05,0.0,7.220286161422587e-05
99,69,0.0,0.0,3.243896681218883e-05,0.0,3.243896681218883e-05
99,70,0.0,0.0,1.3902414348081609e-05,0.0,1.3902414348081609e-05
99,71,0.0,0.0,5.67845093090646e-06,0.0,5.67845093090646e-06
99,72,0.0,0.0,2.2082864731302458e-06,0.0,2.2082864731302458e-06
99,73,0.0,0.0,8.167634900618298e-07,0.0,8.167634900618298e-07
99,74,0.0,0.0,2.8697095596768067e-07,0.0,2.8697095596768067e-07
99,75,0.0,0.0,9.56569853225652e-08,0.0,9.56569853225652e-08
99,76,0.0,0.0,3.0207469049229655e-08,0.0,3.0207469049229655e-08
99,77,0.0,0.0,9.023010235484213e-09,0.0,9.023010235484213e-09
99,78,0.0,0.0,2.5449516048801113e-09,0.0,2.5449516048801113e-09
99,79,0.0,0.0,6.765061228162601e-10,0.0,6.765061228162601e-10
