horizon,x,empirical_density,analytical_lognormal_density,abs_diff
2,19.63653156469705,0.0015647576632750986,0.001566174708138636,1.4170448635374491e-06
2,22.997772790870865,0.000970430693590952,0.0010503953351608723,7.996464156992031e-05
2,26.934367283649163,0.0007206214669922188,0.0006957354109474057,2.488605604481311e-05
2,31.544799905949464,0.00046899010342137316,0.0004551076943624137,1.3882409058959449e-05
2,36.94441345612975,0.00028065363403387945,0.0002940106036140329,1.3356969580153428e-05
2,43.26829428897529,0.00020164381682934477,0.0001875817379269261,1.4062078902418658e-05
2,50.67465187667632,0.00012226746268128688,0.00011819438974126612,4.073072940020763e-06
2,59.34877685891672,6.817792809896866e-05,7.35498711002787e-05,5.371943001310041e-06
2,69.50767660370774,4.866274554458079e-05,4.520075771693517e-05,3.461987827645623e-06
2,81.4055042504174,2.7570851568580688e-05,2.743394478118181e-05,1.3690678739887847e-07
2,95.33991705761073,1.4588932300597672e-05,1.6444078869298977e-05,1.855146568701305e-06
2,111.65952312746084,6.794555887594472e-06,9.734408962308646e-06,2.9398530747141735e-06
2,130.7726028072592,7.0101422767383515e-06,5.690997182078962e-06,1.3191450946593898e-06
2,153.15732295814675,2.6831885244524717e-06,3.2858361183386517e-06,6.0264759388618e-07
2,179.3736996294147,2.9959582567159965e-06,1.8736228470178564e-06,1.12233540969814e-06
2,210.07760841795277,1.5047551473657468e-07,1.0551086752399715e-06,9.046331605033969e-07
2,246.0371930209639,6.424137723483643e-07,5.868011551032854e-07,5.5612617245078895e-08
2,288.15208248754004,7.679304342310575e-07,3.223023500371278e-07,4.456280841939297e-07
2,337.4758979421101,9.367050048339328e-08,1.748295058656176e-07,8.115900538222433e-08
2,395.242611848062,0.0,9.365796860541855e-08,9.365796860541855e-08
2,462.8974192618486,6.829058652288191e-08,4.955112095469578e-08,1.8739465568186133e-08
2,542.1328934078855,0.0,2.5890532284631125e-08,2.5890532284631125e-08
2,634.9313301065304,4.978733094808249e-08,1.3360023457338566e-08,3.6427307490743925e-08
10,7.570223487110655e-07,18.566414299286624,8.099311744340316,10.467102554946308
10,1.0784538173838518e-06,13.032723639556679,9.303545648516408,3.7291779910402703
10,1.5363649939926824e-06,9.148340801141435,10.553823350686578,1.4054825495451428
10,2.188705122758165e-06,12.843384349808236,11.823120037164488,1.0202643126437483
10,3.1180286801110586e-06,4.507716894858061,13.080228398513395,8.572511503655335
10,4.44194274911894e-06,22.14939261417443,14.29089756599244,7.858495048181991
10,6.327990346050162e-06,17.768915300272813,15.419299195004244,2.3496161052685682
10,9.014853203060007e-06,12.472917966289469,16.42974092022797,3.9568229539385023
10,1.2842557246227042e-05,9.849807372052865,17.288517148640096,7.438709776587231
10,1.8295503310762103e-05,18.437567292357627,17.96576544294004,0.47180184941758796
10,2.6063768685356223e-05,15.09932582776465,18.437186804635353,3.3378609768707026
10,3.713043727439596e-05,22.712133104364014,18.685491972799856,4.026641131564158
10,5.2896010121608e-05,18.334240076134815,18.7014537802567,0.3672137041218839
10,7.535564060579122e-05,14.175375246920087,18.484476267196165,4.309101020276078
10,0.00010735162364901162,20.162707117641094,18.042631612527455,2.1200755051136397
10,0.0001529330917690236,15.256094060283024,17.39216169215719,2.136067631874168
10,0.00021786843797073704,17.805390402982148,16.556487175264152,1.248903227717996
10,0.0003103753132480855,15.66843665130337,15.564808441349165,0.10362820995420563
10,0.00044216058081247264,14.685836595344863,14.450414793895765,0.23542180144909786
10,0.0006299018345835821,14.10200756088473,13.248838229037924,0.8531693318468054
10,0.0008973579699996855,11.84112073284997,11.99599376665879,0.1548730338088209
10,0.0012783759025790026,10.477823132184254,10.726440199443836,0.24861706725958221
10,0.0018211739383060838,9.353796801282371,9.47187483972875,0.1180780384463791
10,0.0025944438618361104,8.299486550718376,8.259946528053263,0.03954002266511303
10,0.0036960439695726483,7.103566998174687,7.113436702382148,0.00986970420746136
10,0.005265383162057133,5.9980465269607794,6.049822840821044,0.05177631386026427
10,0.007501063318378322,5.135975486373796,5.081205897066429,0.05476958930736675
10,0.010686012617615136,4.276003233909791,4.214556496834924,0.06144673707486703
10,0.015223290461240511,3.368084928378915,3.4522156491193985,0.08413072074048333
10,0.021687095155144696,2.8029894615706743,2.7925753755399674,0.010414086030706926
10,0.030895429438582388,2.178649360598569,2.230862698050118,0.05221333745154899
10,0.04401361977553672,1.7573131691069706,1.7599556734030708,0.0026425042961002454
10,0.06270178990703178,1.3844079575271444,1.3711708376993852,0.013237119827759214
10,0.08932495163078435,1.057857232605972,1.0549754579100188,0.0028817746959532986
10,0.12725230006467733,0.8025396362735414,0.8015933316115715,0.0009463046619698767
10,0.1812835895918916,0.5807885463979381,0.6014877474734202,0.020699201075482065
10,0.2582565489080987,0.44681583094556865,0.44571825823450417,0.0010975727110644762
10,0.36791220432069593,0.3196026738008651,0.326178262345326,0.006575588544460886
10,0.5241276190687484,0.23523303696775558,0.23572766546167695,0.000494628493921373
10,0.7466720533989682,0.16536690841370533,0.16823914241863436,0.0028722340049290307
10,1.063708789698227,0.11951504006201163,0.11857809992556537,0.0009369401364462682
10,1.5153592318483178,0.08279930163884602,0.08253589754918353,0.0002634040896624945
10,2.1587803201282054,0.056649679414901566,0.056733845315331016,8.416590042945038e-05
10,3.0753978150042505,0.038362279177330365,0.03851257103635433,0.00015029185902396686
10,4.381210831110052,0.02553295560958132,0.025818068865047866,0.00028511325546654726
10,6.2414716733514695,0.01693656460110351,0.01709251413449449,0.00015594953339098314
10,8.891598727144263,0.011109349655427578,0.011175040117643227,6.569046221564963e-05
10,12.666968955752788,0.007286702661849242,0.007215279920434322,7.142274141491971e-05
