horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
500,1836,0.0008275395234063193,0.00095551203511152,0.00012797251170520063
500,1837,0.0007798402109765329,0.0009021750441393908,0.00012233483316285792
500,1838,0.0007343838443464419,0.0008512321451149727,0.00011684830076853087
500,1839,0.0006911004361312145,0.000802615852487175,0.00011151541635596052
500,1840,0.0006499197534522829,0.0007562578849126019,0.00010633813146031907
500,1841,0.0006107715191335733,0.0007120893911002046,0.00010131787196663124
500,1842,0.0005735856011736712,0.0006700411646281654,9.645556345449417e-05
500,1843,0.0005382921904340164,0.0006300438475153733,9.175165708135682e-05
500,1844,0.0005048219665415279,0.0005920281223943506,8.720615585282266e-05
500,1845,0.0004731062520588816,0.000555924893194058,8.281864113517633e-05
500,1846,0.00044307715502688494,0.0005216654542994395,7.858829927255453e-05
500,1847,0.0004146677000309426,0.000489181648209733,7.451394817879038e-05
500,1848,0.0003878119479874002,0.00045840601176929513,7.059406378189491e-05
500,1849,0.0003624451048855906,0.0004292719110929115,6.682680620732093e-05
500,1850,0.0003385036197576619,0.0004017136653521811,6.321004559451922e-05
500,1851,0.0003159252721807785,0.000375666659630555,5.974138744977651e-05
500,1852,0.00029464924964509,0.00035106744709194256,5.641819744685257e-05
500,1853,0.00027461621514603384,0.0003278538407414885,5.323762559545465e-05
500,1854,0.0002557683653811613,0.00030596499508720663,5.0196629706045356e-05
500,1855,0.00023804947994985096,0.0002853414780376703,4.729199808781935e-05
500,1856,0.00022140496196913434,0.0002659253333939934,4.452037142485904e-05
500,1857,0.00020578187053052374,0.0002476601343139755,4.1878263783451755e-05
500,1858,0.00019112894543136144,0.00023049102814263068,3.936208271126924e-05
500,1859,0.00017739662461995224,0.00021436477301650623,3.6968148396553986e-05
500,1860,0.00016453705479676508,0.00019922976665935196,3.4692711862586875e-05
500,1861,0.00015250409561446657,0.00018503606779396719,3.2531972179500616e-05
500,1862,0.00014125331791765405,0.00017173541059959264,3.048209268193859e-05
500,1863,0.000130741996459069,0.00015928121264618226,2.8539216187113247e-05
500,1864,0.0001209290975229756,0.00014762857673645868,2.6699479213483087e-05
500,1865,0.00011177526187846129,0.00013673428708399312,2.4959025205531824e-05
500,1866,0.00010324278347584266,0.00012655680025083294,2.331401677499028e-05
500,1867,9.529558428831299e-05,0.00011705623126160046,2.1760646973287466e-05
500,1868,8.789918568862606e-05,0.00010819433530268158,2.0295149614055514e-05
500,1869,8.102067673714231e-05,9.993448540528454e-05,1.891380866814223e-05
500,1870,7.462867974313312e-05,9.224164649994848e-05,1.7612966756815355e-05
500,1871,6.869331344600656e-05,8.50823462176854e-05,1.638903277167884e-05
500,1872,6.318615414723392e-05,7.842464279951126e-05,1.5238488652277339e-05
500,1873,5.808019510736518e-05,7.223809046181566e-05,1.415789535445048e-05
500,1874,5.3349804505761184e-05,6.649370254999091e-05,1.3143898044229725e-05
500,1875,4.897068224366693e-05,6.11639127971292e-05,1.2193230553462264e-05
500,1876,4.491981585412534e-05,5.622253498854106e-05,1.130271913441572e-05
500,1877,4.117543576509431e-05,5.164472131647764e-05,1.0469285551383331e-05
500,1878,3.771697014508461e-05,4.740691969287282e-05,9.689949547788212e-06
500,1879,3.452499954377492e-05,4.348683027127554e-05,8.961830727500622e-06
