series,forecaster,rmse
S2: AR(1) near unit,OLS-AR(2),0.9791810650149503
S2: AR(1) near unit,OLS-AR(2),1.0094433783223111
S2: AR(1) near unit,OLS-AR(2),1.0811368014455167
S2: AR(1) near unit,OLS-AR(2),1.0749816186913184
S2: AR(1) near unit,OLS-AR(2),0.9515190084375001
S2: AR(1) near unit,OLS-AR(2),0.8384640566735434
S2: AR(1) near unit,OLS-AR(2),0.9847859945531504
S2: AR(1) near unit,OLS-AR(2),1.0692502165010351
S2: AR(1) near unit,OLS-AR(2),0.9310406654355058
S2: AR(1) near unit,OLS-AR(2),0.9942206755457301
S2: AR(1) near unit,OLS-AR(2),0.9424680125397875
S2: AR(1) near unit,OLS-AR(2),1.0208967029620997
S2: AR(1) near unit,OLS-AR(2),0.9345537152615372
S2: AR(1) near unit,OLS-AR(2),1.0848497214860902
S2: AR(1) near unit,OLS-AR(2),0.8453030713336961
S2: AR(1) near unit,OLS-AR(2),1.053237899268882
S2: AR(1) near unit,OLS-AR(2),0.9041692743363859
S2: AR(1) near unit,OLS-AR(2),0.9246128873488179
S2: AR(1) near unit,OLS-AR(2),0.9616979388573159
S2: AR(1) near unit,OLS-AR(2),1.1201758462178284
S2: AR(1) near unit,YW-AR(2),0.9785532600689025
S2: AR(1) near unit,YW-AR(2),1.0080292478555504
S2: AR(1) near unit,YW-AR(2),1.083384835980518
S2: AR(1) near unit,YW-AR(2),1.072577710625037
S2: AR(1) near unit,YW-AR(2),0.9503694766923109
S2: AR(1) near unit,YW-AR(2),0.8500680336205476
S2: AR(1) near unit,YW-AR(2),0.9846658711690114
S2: AR(1) near unit,YW-AR(2),1.0699555166607195
S2: AR(1) near unit,YW-AR(2),0.9333589181228032
S2: AR(1) near unit,YW-AR(2),0.9975992246871549
S2: AR(1) near unit,YW-AR(2),0.9409658123120512
S2: AR(1) near unit,YW-AR(2),1.023692803959006
S2: AR(1) near unit,YW-AR(2),0.9309627942870523
S2: AR(1) near unit,YW-AR(2),1.083157321432843
S2: AR(1) near unit,YW-AR(2),0.8448287672063568
